Rejection rate,Impact Factor (2014),Journal Title
0.33,1.216,NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT
0.321,2.54,PROGRESS IN AEROSPACE SCIENCES
0.32,0.942,Sustainability
0.313,4.435,JOURNAL OF CLIMATE
0.310344828,3.568,International Journal of Polymeric Materials and Polymeric Biomaterials
0.31,12.239,COORDINATION CHEMISTRY REVIEWS
0.31,2.014,PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY
0.31,3.234,PLoS One
0.3,3.261,Frontiers in Neuroinformatics
0.3,1.234,SUBSTANCE USE & MISUSE
0.3,0.726,COMPOSITE INTERFACES
0.3,1.269,Experimental and Therapeutic Medicine
0.3,1.875,REVIEW OF INTERNATIONAL POLITICAL ECONOMY
0.29,1.5,BIOACOUSTICS-THE INTERNATIONAL JOURNAL OF ANIMAL SOUND AND ITS RECORDING
0.29,2.196,INTERNATIONAL ARCHIVES OF OCCUPATIONAL AND ENVIRONMENTAL HEALTH
0.28,5.664,PRECAMBRIAN RESEARCH
0.274,1.788,WEATHER AND FORECASTING
0.271,4.673,CLIMATE DYNAMICS
0.27,0.364,Kyushu Journal of Mathematics
0.268,3.143,JOURNAL OF THE ATMOSPHERIC SCIENCES
0.264,3.252,QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY
0.263358779,2.56,CURRENT ANTHROPOLOGY
0.25,1.972,Behavioral and Brain Functions
0.25,1.439,Nursing Inquiry
0.25,0.663,Central European Journal of Geosciences
0.25,2.938,Toxins
0.24,0.306,Sugar Industry-Zuckerindustrie
0.24,1,4OR-A Quarterly Journal of Operations Research
0.230769231,3.719,Frontiers in Cellular and Infection Microbiology
0.23,3.558,ORE GEOLOGY REVIEWS
0.220338983,2.201,ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES
0.22,3.893,Advances in Agronomy
0.22,7.237,PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY
0.211,1.725,Proteome Science
0.210144928,3.27,Nutrients
0.208333333,3.534,Frontiers in Physiology
0.2,3.948,Frontiers in Plant Science
0.192488263,3.626,Discovery Medicine
0.18,2.096,NEW ZEALAND JOURNAL OF GEOLOGY AND GEOPHYSICS
0.17,2.274,NUTRITIONAL NEUROSCIENCE
0.135135135,4.289,CURRENT OPINION IN GASTROENTEROLOGY
0.133333333,3.544,Frontiers in Neuroanatomy
0.13,7.037,FRONTIERS IN NEUROENDOCRINOLOGY
0.123,5.053,ATMOSPHERIC CHEMISTRY AND PHYSICS
0.11,4.084,Frontiers in Molecular Neuroscience
0.104477612,3.656,Frontiers in Neuroscience
0.102,1.735,SEX ROLES
0.1,2.724,CLINICAL AND EXPERIMENTAL RHEUMATOLOGY
0.095238095,3.989,CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE
0.09,0.551,JOURNAL OF OBSTETRICS AND GYNAECOLOGY
0.04,4,Frontiers in Aging Neuroscience
0.03125,3.802,Frontiers in Pharmacology
0.03,0.227,Revista Internacional de Andrologia
0.01,7.117,CURRENT OPINION IN BIOTECHNOLOGY
0,1.919,BEST PRACTICE & RESEARCH CLINICAL OBSTETRICS & GYNAECOLOGY
0,5.84,CURRENT OPINION IN COLLOID & INTERFACE SCIENCE
